Sno,Company name,Technical Questions,Programming questions,Personal interaction
1,Accenture ,"There were 2 sections for 90 mins and there were 90 Qns .One section was cognitive section based on Verbal ability, abstract reasoning, critical reasoning which were all for 50 marks .And the other section was technical section which were based on Ms office and common applications,Network and cloud security and pseudo codes","C, C++, JAVA, PYTHON ",
2,Accenture ,"The first round was cognitive and technical assessment where we had 90 questions for 90 minutes.In that,50 questions were from aptitude and 40 from technical.In aptitude,we mostly had verbal ability,logical reasoning, critical thinking problems.In technical section,we had topics in MS office, computer networks,cloud computing.
So ,overall it was an easy paper.
Further after this round who had cleared aptitude were allowed to take coding questions,where we had 2 questions of medium level.","C, Python, java, I had solved the problem in java.There were two questions,one was  Nth sequence  and other was a mad number ","My interview was for some 15-20 minutes and it was an HR and technical interview.So the questions were around project ,behavioural questions,how we will resolve conflicts in a team and more such similar questions.So it was a decent interview experience."
3,Bosch,"Mechanical instruments, measuring devices, Favorite subjects, Boilers. thermodynamic laws, Conduction, Projects",No progamiing questions asked,"Tell me about yourself, Situation based questions,Family background"
4,Tata Elxsi,"Questions on favorite subjects(SOM), Simple definitions, Question on manufacturing a water bottle, foctors to be considered, neglected, Technical questions on project work., Total time of technical round wad 90 minutes.","CNC programming , G codes and M codes","Family background, Relocation issues"
5,,,,
