Sno,Company name,Technical Questions,Programming questions,Personal interaction
14,PhonePe,"
1. Difference between DNS and DHCP
2.All Linux commands in brief.
3.Write Linux Command to list the filenames which contains numerals.
4.TCP VS UDP
5.TCP Hand Shake
6. What is the process that runs in background when you search www.phonepe.com
7. Linux CNS DBMS Cloud Computing questions","
1.If you have any Project with SQL used(Write the SQL query of (any) used in the Database)
2.Every Technical aspect of the project is queried.
3.Android has Linux Kernel but why cant we operate the Linux OS in android phone.
4.About the Daemon Process. 
5. sorting, 
6. binary search
7.List out all the linux/unix commands known by you.
8. Details and instructions about chmod.
9. Difference between execute permission for directories and specific files.
10. Technologies used in final year project.
11. Networking questions which include osi model, 
12. router protocol,  
13. DNS , 
14. difference between hub and switch , 
15. ip adress . 
16. Linux based questions such as its architecture,  commands. 
17. Dbms questions include normalization,  
18. difference between relational and non relational database and many more..",
15,Visionet Systems Inc,"1. Basic concepts of oops, 
2 .DSA,
3.DBMS,
4. Oops Concepts
5. MySQL,about project .",No programming questions were asked ,
16,Evalueserve ,"1. Python basics 
2. Guess estimate questions 
3. Linear regression based questions 
4. DBMS based queries and theoretical questions","1. Basic questions related to python
2. Lists, tuple, dictionary and project related questions 
3.  2 rooms - 3 bulbs in one room and corresponding switches in other room. You have only one chance to enter the room and you can on only one switch at a time.how do you find the correct switches for each bulb
4. Sorting in python, 
5. exchanging key value pair in python, analytic based questions, 
6. Venn diagram
7. Unix commands",
17,Quinbay,"1. Oops concept , basic html tags, abstraction ,interface
2. HTML CSS JavaScript 
3. OOPS Concept
","1. Arrays sorting, String Manipulation 
2. String Sorting
3. Reverse a linked list (Java)
4. Find Cycle in a linked list (Java)
5. Find Middle element of linked list(Java)
",
18,Ceptes Software Drive,"1. Difference between python and Java
2. Why is python better than java?
3. Comparison between different languages
4. What is IaaS, PaaS, SaaS? Different types of databases. 
5. What is DDL and DML?
6. What is salesforce",No programming questions were asked ,
19,Capgemini(Dec),"1. My projects and internships.
2. DBMS , OOPS , DSA,OS and HR questions ",1. What is Slicing in Python?,
20,Accenture,"1. tell about your projects, 
2.design of project implementation,",,"how would you convince your team mates to work on the project, if received any feedback in life, what is it?"
21,Amadeus (Dec),"1.Explain OOPS concept in your choice of language (mine was C++)
2. Why did you choose C++ and not Java?
3. Explain Quick sort
4. Explain what is Time Complexity
5. According to you, what is the definition of Data Structures
6. Explain what are the ML/AI algorithms you've used in your projects.
and some other follow up questions were there, after that the interview was concluded.""","1. Write code for Operator overloading, Function overloading and Dynamic binding.
2. Write code for Merge sort and explain","1. Introduce yourself
2. Why did you choose this company?
3. Tell me about your hobbies
4. Discuss on the topic """"Timeline kills Creativity""""
5. What are the projects that you have done, and other certifications 
6. Are you a team player, or a team leader"
22,TATA ELXSI,Explain Project,"1. What is the use of internal keyword in OOPs?
2. Reverse individual Words in a String","About Family background, "
23,Publicis Sapient,"1. Questions related to the topics which I mentioned in resume, 
2. About final year project","1. C++ code snippets 
2. simple programs were given to solve and  some puzzles were also asked.","Why should I hire you?
Where you are willing to see yourself in future?"
24,Lights& Wonder,General technical interview ,,
25,Testvagrant,Project,Only coding question given ,
26,TCS (Ninja),"OOPs concepts,basic HR questions.",,
27,AXA,"About projects, goals for the next 5 years",DBMS- Queries and Joins ,
28,Entune,No programming  questions only based on project,Project related questions only,Mostly hr and personal questions 
29,dhiOmics,Technical questions related to SQL and PYTHON.,Basic Python programs,
30,Publicis Sapient,"1.Completely project related questions
2. Oops, Networking 
3. Data Structures","1.LeetCode Balloons problem : Find Maximum number of balloon
2. Program to find Prime Numbers Between given Interval","What are your strengths, weaknesses ?
How would your friends describe your positive and negative traits?"
31,Microland,"1. Basics about java
2. project related questions. ",Nothing,
32,Msg global solutions ,"1. DSA,coading in array ,linked list etc
","1.Program to delete second last node, 
2. Program to find minimum of two array element 
3. Coding questions in java
","""Short term goals
Questions on hobbies and interests """
33,QSC India,"1. Pillars in oops with real world examples
2. Singleton, multithreading in java, why do you prefer java more
3. OSI model, http vs https, ARPA, router, switch
4. DDL, DML commands and sql queries
5. Explain the testing processes you would execute on your projects(role specific question) 
6. grep command
7. Questions about DBMS, CNS and OOPS. 
8. Detailed questioning about projects and resume.
9. Asked to write code/pseudocode to questions in any preferred language.
10. Topics asked on: Oops, cns, DBMS, java, c, OS, testing, unix, puzzles","1. Palindrome program
2. Program to Swap two numbers without 3rd variable. Give and explain with examples all the approaches. 
3. Program to handle Division by 0 exception (to check my knowledge in try catch block) ",
34,Tata Elxsi,"1. questions on c programming, pointers, 
2. data structures, linked list basic
3. In Techical interview they asked about project,oops ,basic questions on programmimg languages 
4. questions were asked based on what you have mentioned in your resume","1. sorting program
2. reverse of a number program",
35,Falca ESolutions,"1. Asked for certain basic data structures questions 
2. Difference between authentication and permission
3. What is bubble sort ?","1. Anagram program
2. bubble sort program
3. quick sort program",
36,IT Orizon,"1. OOPS concept
2. Java Basics",,"
>introduction about u r self
>hobbies
>where do u stay
>JAM(advantages and disadvantages of internet)"""
